NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-10-19;2020-10-25;Si;;;4536.0824;4536.0824;22;27216.4948;130;2;17.0543;0;0;0
ALT CAMP;01;2020-10-18;2020-10-24;No;908.049;2.55528;355.3611;277.9106;122;1742.6365;705;60;14.7059;3;1;0
ALT CAMP;01;2020-10-18;2020-10-24;Si;;;4536.0824;4536.0824;22;27216.4948;130;2;17.0543;0;0;0
ALT CAMP;01;2020-10-17;2020-10-23;No;904.71;2.77733;325.7477;250.5751;110;1590.0134;650;48;13.6564;2;0;0
ALT CAMP;01;2020-10-17;2020-10-23;Si;;;4536.0824;4536.0824;22;27628.8659;132;2;16.7939;0;0;0
ALT CAMP;01;2020-10-16;2020-10-22;No;642.864;2.39162;268.7988;189.0703;83;1478.3935;625;24;12.2029;3;0;0
ALT CAMP;01;2020-10-16;2020-10-22;Si;;;4536.0824;4536.0824;22;27010.3092;131;0;17.0543;0;0;0
ALT CAMP;01;2020-10-15;2020-10-21;No;534.566;2.19317;243.7413;175.4026;77;1448.7801;633;3;12.3596;3;0;0
ALT CAMP;01;2020-10-15;2020-10-21;Si;;;4536.0824;4536.0824;22;26185.5670;127;0;17.6000;0;0;0
ALT CAMP;01;2020-10-14;2020-10-20;No;419.976;2.00397;209.5719;157.1789;69;1346.2721;591;0;11.0535;2;0;0
ALT CAMP;01;2020-10-14;2020-10-20;Si;;;4536.0824;4536.0824;22;25979.3814;126;0;17.7419;0;0;0
ALT CAMP;01;2020-10-13;2020-10-19;No;309.151;1.88492;164.0128;118.4537;52;1009.1346;443;0;10.8295;1;0;0
ALT CAMP;01;2020-10-13;2020-10-19;Si;;;0.0000;0.0000;0;4123.7113;20;0;0.0000;0;0;0
ALT CAMP;01;2020-10-12;2020-10-18;No;223.032;1.78016;125.2875;79.7284;35;865.6233;380;0;9.1398;1;0;0
ALT CAMP;01;2020-10-12;2020-10-18;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-10-11;2020-10-17;No;228.739;1.85952;123.0096;77.4505;34;863.3454;379;0;8.8949;2;0;0
ALT CAMP;01;2020-10-11;2020-10-17;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-10-10;2020-10-16;No;221.678;1.87143;118.4537;75.1725;33;826.8981;363;0;9.0141;2;0;0
ALT CAMP;01;2020-10-10;2020-10-16;Si;;;0.0000;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-10-09;2020-10-15;No;218.033;1.91429;113.8978;79.7284;35;883.8470;388;0;7.8947;1;0;0
ALT CAMP;01;2020-10-09;2020-10-15;Si;;;0.0000;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-10-08;2020-10-14;No;184.175;1.97198;93.3962;68.3386;30;851.9556;374;0;6.5753;2;0;0
ALT CAMP;01;2020-10-08;2020-10-14;Si;;;0.0000;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-10-07;2020-10-13;No;151.029;1.95;77.4505;52.3929;23;767.6712;337;0;5.7751;3;0;0
ALT CAMP;01;2020-10-07;2020-10-13;Si;;;0.0000;0.0000;0;824.7422;4;0;0.0000;0;0;0
